V(out)	I(R3)	power	
1.420252e-014	3.253609e+000	4.620945e-014	
1.487186e-014	3.253609e+000	4.838723e-014	
1.557275e-014	3.253609e+000	5.066765e-014	
1.630667e-014	3.253609e+000	5.305554e-014	
1.707518e-014	3.253609e+000	5.555598e-014	
1.787991e-014	3.253609e+000	5.817425e-014	
1.872257e-014	3.253609e+000	6.091592e-014	
1.960494e-014	3.253609e+000	6.378680e-014	
2.052889e-014	3.253609e+000	6.679298e-014	
2.149638e-014	3.253609e+000	6.994083e-014	
2.250948e-014	3.253609e+000	7.323704e-014	
2.357031e-014	3.253609e+000	7.668859e-014	
2.468115e-014	3.253609e+000	8.030282e-014	
2.584434e-014	3.253609e+000	8.408737e-014	
2.706234e-014	3.253609e+000	8.805029e-014	
2.833775e-014	3.253609e+000	9.219997e-014	
2.967327e-014	3.253609e+000	9.654522e-014	
3.107173e-014	3.253609e+000	1.010953e-013	
3.253609e-014	3.253609e+000	1.058597e-013	
3.406947e-014	3.253609e+000	1.108487e-013	
3.567512e-014	3.253609e+000	1.160729e-013	
3.735643e-014	3.253609e+000	1.215432e-013	
3.911699e-014	3.253609e+000	1.272714e-013	
4.096051e-014	3.253609e+000	1.332695e-013	
4.289092e-014	3.253609e+000	1.395503e-013	
4.491231e-014	3.253609e+000	1.461271e-013	
4.702896e-014	3.253609e+000	1.530139e-013	
4.924537e-014	3.253609e+000	1.602252e-013	
5.156623e-014	3.253609e+000	1.677764e-013	
5.399647e-014	3.253609e+000	1.756834e-013	
5.654125e-014	3.253609e+000	1.839631e-013	
5.920596e-014	3.253609e+000	1.926330e-013	
6.199625e-014	3.253609e+000	2.017116e-013	
6.491804e-014	3.253609e+000	2.112179e-013	
6.797753e-014	3.253609e+000	2.211723e-013	
7.118121e-014	3.253609e+000	2.315958e-013	
7.453588e-014	3.253609e+000	2.425106e-013	
7.804865e-014	3.253609e+000	2.539398e-013	
8.172697e-014	3.253609e+000	2.659076e-013	
8.557865e-014	3.253609e+000	2.784395e-013	
8.961184e-014	3.253609e+000	2.915619e-013	
9.383512e-014	3.253609e+000	3.053028e-013	
9.825743e-014	3.253609e+000	3.196913e-013	
1.028882e-013	3.253609e+000	3.347579e-013	
1.077371e-013	3.253609e+000	3.505345e-013	
1.128146e-013	3.253609e+000	3.670547e-013	
1.181314e-013	3.253609e+000	3.843535e-013	
1.236988e-013	3.253609e+000	4.024674e-013	
1.295285e-013	3.253609e+000	4.214352e-013	
1.356330e-013	3.253609e+000	4.412968e-013	
1.420252e-013	3.253609e+000	4.620945e-013	
1.487186e-013	3.253609e+000	4.838723e-013	
1.557275e-013	3.253609e+000	5.066765e-013	
1.630667e-013	3.253609e+000	5.305555e-013	
1.707518e-013	3.253609e+000	5.555598e-013	
1.787991e-013	3.253609e+000	5.817425e-013	
1.872257e-013	3.253609e+000	6.091592e-013	
1.960493e-013	3.253609e+000	6.378679e-013	
2.052889e-013	3.253609e+000	6.679298e-013	
2.149638e-013	3.253609e+000	6.994083e-013	
2.250948e-013	3.253609e+000	7.323704e-013	
2.357032e-013	3.253609e+000	7.668860e-013	
2.468115e-013	3.253609e+000	8.030281e-013	
2.584434e-013	3.253609e+000	8.408737e-013	
2.706234e-013	3.253609e+000	8.805028e-013	
2.833775e-013	3.253609e+000	9.219997e-013	
2.967327e-013	3.253609e+000	9.654522e-013	
3.107173e-013	3.253609e+000	1.010953e-012	
3.253609e-013	3.253609e+000	1.058597e-012	
3.406947e-013	3.253609e+000	1.108487e-012	
3.567512e-013	3.253609e+000	1.160729e-012	
3.735643e-013	3.253609e+000	1.215432e-012	
3.911699e-013	3.253609e+000	1.272714e-012	
4.096051e-013	3.253609e+000	1.332695e-012	
4.289092e-013	3.253609e+000	1.395503e-012	
4.491231e-013	3.253609e+000	1.461271e-012	
4.702896e-013	3.253609e+000	1.530139e-012	
4.924537e-013	3.253609e+000	1.602252e-012	
5.156623e-013	3.253609e+000	1.677764e-012	
5.399647e-013	3.253609e+000	1.756834e-012	
5.654125e-013	3.253609e+000	1.839631e-012	
5.920596e-013	3.253609e+000	1.926330e-012	
6.199625e-013	3.253609e+000	2.017116e-012	
6.491804e-013	3.253609e+000	2.112179e-012	
6.797753e-013	3.253609e+000	2.211723e-012	
7.118121e-013	3.253609e+000	2.315958e-012	
7.453588e-013	3.253609e+000	2.425106e-012	
7.804865e-013	3.253609e+000	2.539398e-012	
8.172697e-013	3.253609e+000	2.659076e-012	
8.557864e-013	3.253609e+000	2.784395e-012	
8.961184e-013	3.253609e+000	2.915619e-012	
9.383512e-013	3.253609e+000	3.053028e-012	
9.825743e-013	3.253609e+000	3.196913e-012	
1.028882e-012	3.253609e+000	3.347579e-012	
1.077371e-012	3.253609e+000	3.505345e-012	
1.128146e-012	3.253609e+000	3.670547e-012	
1.181314e-012	3.253609e+000	3.843535e-012	
1.236988e-012	3.253609e+000	4.024675e-012	
1.295285e-012	3.253609e+000	4.214352e-012	
1.356330e-012	3.253609e+000	4.412968e-012	
1.420252e-012	3.253609e+000	4.620945e-012	
1.487186e-012	3.253609e+000	4.838723e-012	
1.557275e-012	3.253609e+000	5.066765e-012	
1.630667e-012	3.253609e+000	5.305554e-012	
1.707518e-012	3.253609e+000	5.555598e-012	
1.787991e-012	3.253609e+000	5.817425e-012	
1.872257e-012	3.253609e+000	6.091592e-012	
1.960493e-012	3.253609e+000	6.378679e-012	
2.052889e-012	3.253609e+000	6.679297e-012	
2.149638e-012	3.253609e+000	6.994083e-012	
2.250948e-012	3.253609e+000	7.323704e-012	
2.357031e-012	3.253609e+000	7.668859e-012	
2.468115e-012	3.253609e+000	8.030281e-012	
2.584434e-012	3.253609e+000	8.408737e-012	
2.706234e-012	3.253609e+000	8.805029e-012	
2.833775e-012	3.253609e+000	9.219997e-012	
2.967327e-012	3.253609e+000	9.654522e-012	
